product_id,quantity
1,5.0
2,5.916666666666667
3,6.3076923076923075
4,6.75
5,5.0
6,5.461538461538462
7,4.866666666666666
8,6.222222222222222
9,5.133333333333334
10,4.954545454545454
11,5.027777777777778
12,6.35
13,6.090909090909091
14,7.1875
15,5.5
16,5.2
17,5.555555555555555
18,6.0
19,6.2272727272727275
20,6.0
21,4.888888888888889
22,5.461538461538462
23,5.571428571428571
24,6.7
25,4.842105263157895
26,5.344827586206897
27,6.809523809523809
28,5.833333333333333
29,5.791666666666667
30,6.105263157894737
31,5.083333333333333
32,5.380952380952381
33,5.0
34,6.2
35,5.631578947368421
36,6.115384615384615
37,4.88
38,5.764705882352941
39,5.0
40,4.4
41,4.5
42,4.928571428571429
43,5.466666666666667
44,5.592592592592593
45,5.148148148148148
46,5.333333333333333
47,5.12
48,6.421052631578948
49,5.291666666666667
50,5.666666666666667
